timestamp,event_type,joint_names,joint_positions,joint_velocities,joint_efforts
11.0,deviated_waypoint,joint1;joint2;joint3;joint4,-0.00485093215606458;0.37182052619308603;-0.10038336071686871;-0.2808456635501386,,
11.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0042583604659931495;0.37572809121826456;-0.08038010401255757;-0.30700059003951097,,
12.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00787019883858786;0.36613444351811264;-0.056651897145601815;-0.3213590975986236,,
12.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004264697188701483;0.3499024011543197;-0.028904833526340212;-0.33289947929722885,,
13.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005596833789458522;0.328395324168393;0.004238971338030417;-0.34449847815355916,,
13.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006593526542637562;0.3017109289118265;0.0439028744748402;-0.35741216987813473,,
14.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.006999194291775979;0.26988498289184637;0.09049374610726435;-0.37210590200233007,,
14.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007361776908442863;0.23328339451725544;0.14352072080586886;-0.38847296403535836,,
15.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.007706463830474242;0.19262918220573422;0.20169663821731376;-0.4059621419626751,,
15.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008000635989958482;0.14882380137855566;0.2632980643797893;-0.4237571710808403,,
16.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008276304606077645;0.10271827988855353;0.32660312446820594;-0.4409857715770862,,
16.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008436526242234343;0.05496917614126762;0.39019433905660694;-0.45688161479244016,,
17.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008511819862775383;0.006024622950731917;0.45303737397049915;-0.47085247081044024,,
17.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008481375537619407;-0.04380352829050782;0.5144007524989131;-0.48247362944573347,,
18.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008351262214696398;-0.09425593523542641;0.5737377170856215;-0.4914541284366276,,
18.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008125263308163433;-0.14506122828164347;0.630593289753393;-0.4976075331749019,,
19.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00781419464169364;-0.19590079439079222;0.6845599230761756;-0.5008419119332004,,
19.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007427025953774979;-0.24639495842336157;0.735267079059506;-0.5011630274924279,,
20.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0069785148247634154;-0.2960954699037961;0.7823820650171607;-0.4986823645128373,,
20.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006486975463292133;-0.34449028523498004;0.8256217612577235;-0.4936242906514057,,
21.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005969097204352458;-0.3910176529086842;0.8647649410523819;-0.4863247276993876,,
21.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005444333527022671;-0.43509048015733764;0.8996633649566164;-0.4772183853845666,,
22.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004931408834349504;-0.4761349518064888;0.930253459495038;-0.4668126517985982,,
22.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004446801816050616;-0.5136395260714393;0.9565650726844384;-0.4556477718722354,,
23.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004007080529517815;-0.5472085317175805;0.9787267369419803;-0.4442489980031148,,
23.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0036248040501698497;-0.5766106934359518;0.9969651901441985;-0.4330772399424916,,
24.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003310252567030325;-0.6018060621349646;1.0115941654675815;-0.4224904400551184,,
24.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0030742015679416923;-0.6229323196227705;1.0229843680295962;-0.4127263945033288,,
25.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00292038806608641;-0.6402301461047282;1.0315048669733518;-0.4039168451236126,,
25.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0028514572116735692;-0.6538893976431668;1.0374267894157931;-0.39614413414692073,,
