# Robot 1 (Left Arm) Stiffness Profile
# Example: Higher stiffness for precision tasks
# HARDWARE LIMITS: Max stiffness = 65 N/m, Max damping = 3 Ns/m
# Columns: s (progress 0-1), Kx, Ky, Kz, Dx, Dy, Dz
s,Kx,Ky,Kz,Dx,Dy,Dz
0.0,60.0,60.0,60.0,2.5,2.5,2.5
0.1,55.0,55.0,55.0,2.3,2.3,2.3
0.2,50.0,50.0,50.0,2.0,2.0,2.0
0.3,45.0,45.0,45.0,1.8,1.8,1.8
0.4,40.0,40.0,40.0,1.6,1.6,1.6
0.5,35.0,35.0,35.0,1.4,1.4,1.4
0.6,40.0,40.0,40.0,1.6,1.6,1.6
0.7,45.0,45.0,45.0,1.8,1.8,1.8
0.8,50.0,50.0,50.0,2.0,2.0,2.0
0.9,55.0,55.0,55.0,2.3,2.3,2.3
1.0,60.0,60.0,60.0,2.5,2.5,2.5
