# Robot 2 (Right Arm) Stiffness Profile
# Example: Lower stiffness for compliant interaction
# HARDWARE LIMITS: Max stiffness = 65 N/m, Max damping = 3 Ns/m
# Columns: s (progress 0-1), Kx, Ky, Kz, Dx, Dy, Dz
s,Kx,Ky,Kz,Dx,Dy,Dz
0.0,50.0,50.0,50.0,2.0,2.0,2.0
0.1,45.0,45.0,45.0,1.8,1.8,1.8
0.2,38.0,38.0,38.0,1.5,1.5,1.5
0.3,30.0,30.0,30.0,1.2,1.2,1.2
0.4,25.0,25.0,25.0,1.0,1.0,1.0
0.5,20.0,20.0,20.0,0.8,0.8,0.8
0.6,25.0,25.0,25.0,1.0,1.0,1.0
0.7,30.0,30.0,30.0,1.2,1.2,1.2
0.8,38.0,38.0,38.0,1.5,1.5,1.5
0.9,45.0,45.0,45.0,1.8,1.8,1.8
1.0,50.0,50.0,50.0,2.0,2.0,2.0
