# Example stiffness/damping profile data
# Columns: s (progress 0-1), Kx, Ky, Kz, Dx, Dy, Dz
# This example creates an isotropic profile that varies along the trajectory
s,Kx,Ky,Kz,Dx,Dy,Dz
0.0,200.0,200.0,200.0,20.0,20.0,20.0
0.1,180.0,180.0,180.0,18.0,18.0,18.0
0.2,150.0,150.0,150.0,15.0,15.0,15.0
0.3,120.0,120.0,120.0,12.0,12.0,12.0
0.4,100.0,100.0,100.0,10.0,10.0,10.0
0.5,80.0,80.0,80.0,8.0,8.0,8.0
0.6,100.0,100.0,100.0,10.0,10.0,10.0
0.7,120.0,120.0,120.0,12.0,12.0,12.0
0.8,150.0,150.0,150.0,15.0,15.0,15.0
0.9,180.0,180.0,180.0,18.0,18.0,18.0
1.0,200.0,200.0,200.0,20.0,20.0,20.0
